"";"x"
"1";0,0140769769889183
"2";0,0140769769889183
"3";0,0140769769889183
"4";0,0140769769889183
"5";0,0140769769889183
"6";0,0140769769889183
"7";5,78351936044718
"8";0,0140769769889183
"9";0,0140769769889183
"10";3,41052348130679
"11";0,0140769769889183
"12";0,0140769769889183
"13";3,0629611624422
"14";0,0140769769889183
"15";0,0140769769889183
"16";0,0140769769889183
"17";6,38286897322187
"18";3,55817743476339
"19";8,76782539181413
"20";0,0140769769889183
"21";4,03077827688146
"22";0,0140769769889183
"23";0,0140769769889183
"24";3,92461300970249
"25";0,0140769769889183
"26";0,0140769769889183
"27";0,0140769769889183
"28";0,0140769769889183
"29";0,0140769769889183
"30";0,0140769769889183
"31";0,0140769769889183
"32";0,0140769769889183
"33";0,0140769769889183
"34";0,0140769769889183
"35";0,0140769769889183
"36";0,0140769769889183
"37";0,0140769769889183
"38";0,0140769769889183
"39";0,0140769769889183
"40";0,0140769769889183
"41";0,0140769769889183
"42";0,0140769769889183
"43";0,0140769769889183
"44";0,0140769769889183
"45";0,0140769769889183
"46";0,0140769769889183
"47";0,0140769769889183
"48";0,0140769769889183
"49";0,0140769769889183
"50";0,0140769769889183
"51";0,0140769769889183
"52";0,0140769769889183
"53";0,0140769769889183
"54";0,0140769769889183
"55";0,0140769769889183
"56";0,0140769769889183
"57";0,0140769769889183
"58";0,0140769769889183
"59";0,0140769769889183
"60";0,0140769769889183
"61";0,0140769769889183
"62";0,0140769769889183
"63";0,0140769769889183
"64";0,0140769769889183
"65";0,0140769769889183
"66";0,0140769769889183
"67";0,0140769769889183
"68";0,0140769769889183
"69";0,0140769769889183
"70";0,0140769769889183
"71";0,0140769769889183
"72";0,0140769769889183
"73";0,0140769769889183
"74";0,0140769769889183
"75";0,0140769769889183
"76";0,0140769769889183
"77";0,0140769769889183
"78";0,0140769769889183
"79";8,67430048134251
"80";0,0140769769889183
"81";4,90773327326418
"82";0,0140769769889183
"83";0,0140769769889183
"84";0,0140769769889183
"85";4,38368958166871
"86";6,23816525004601
"87";2,30553878786259
"88";0,0140769769889183
"89";0,0140769769889183
"90";0,0140769769889183
"91";0,0140769769889183
"92";0,0140769769889183
"93";0,0140769769889183
"94";0,0140769769889183
"95";0,0140769769889183
"96";0,0140769769889183
"97";0,0140769769889183
"98";1,92609533022279
"99";3,24421653788547
"100";0,0140769769889183
"101";0,0140769769889183
"102";0,0140769769889183
"103";3,41052348130679
"104";0,0140769769889183
"105";0,0140769769889183
"106";0,0140769769889183
"107";0,0140769769889183
"108";0,0140769769889183
"109";0,0140769769889183
"110";0,0140769769889183
"111";0,0140769769889183
"112";0,0140769769889183
"113";0,0140769769889183
"114";0,0140769769889183
"115";0,0140769769889183
"116";0,0140769769889183
"117";0,0140769769889183
"118";0,0140769769889183
"119";0,0140769769889183
"120";0,0140769769889183
"121";0,0140769769889183
"122";0,0140769769889183
"123";0,0140769769889183
"124";0,0140769769889183
"125";0,0140769769889183
"126";0,0140769769889183
"127";0,0140769769889183
"128";0,0140769769889183
"129";0,0140769769889183
"130";0,0140769769889183
"131";0,0140769769889183
"132";0,0140769769889183
"133";0,0140769769889183
"134";0,0140769769889183
"135";0,0140769769889183
"136";0,0140769769889183
"137";0,0140769769889183
"138";0,0140769769889183
"139";0,0140769769889183
"140";0,0140769769889183
"141";0,0140769769889183
"142";0,0140769769889183
"143";0,0140769769889183
"144";0,0140769769889183
"145";0,0140769769889183
"146";0,0140769769889183
"147";0,0140769769889183
"148";0,0140769769889183
"149";0,0140769769889183
"150";0,0140769769889183
"151";0,0140769769889183
"152";0,0140769769889183
"153";0,0140769769889183
"154";0,0140769769889183
"155";0,0140769769889183
